LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
55.85561,37.48048,179.3592,0,4066
55.85561,37.48048,179.3592,0,4075
55.85561,37.48048,179.3592,0,4085
55.85561,37.48048,179.3592,0,4095
55.85561,37.48048,179.3592,0,4105
55.85561,37.48048,179.3592,0,4115
55.85561,37.48048,179.3592,0,4125
55.85561,37.48048,179.3592,0,4135
55.85561,37.48048,179.3592,0,4145
55.855606,37.480484,179.2777,0,4155
55.855606,37.480484,179.2777,0,4165
55.855606,37.480484,179.2777,0,4175
55.855606,37.480484,179.2777,0,4185
55.855606,37.480484,179.2777,0,4196
55.855606,37.480484,179.2777,0,4205
55.855606,37.480484,179.2777,0,4215
55.855606,37.480484,179.2777,0,4226
55.855606,37.480484,179.2777,0,4235
55.855606,37.480484,179.2777,0,4245
55.855606,37.480484,179.2777,0,4255
55.855606,37.480484,179.2777,0,4265
55.855606,37.480484,179.2777,0,4276
55.855606,37.480484,179.2777,0,4285
55.855606,37.480484,179.2777,0,4295
55.855606,37.480484,179.2777,0,4305
55.855606,37.480484,179.2777,0,4316
55.855606,37.480484,179.2777,0,4325
55.855606,37.480484,179.2777,0,4335
55.855606,37.480484,179.2777,0,4345
55.855606,37.480484,179.2777,0,4356
55.855606,37.480484,179.2777,0,4365
55.855606,37.480484,179.2777,0,4375
55.855606,37.480484,179.2777,0,4385
55.855606,37.480484,179.2777,0,4395
55.855606,37.480484,179.2777,0,4406
55.855606,37.480484,179.2777,0,4416
55.855606,37.480484,179.2777,0,4426
55.855606,37.480484,179.2777,0,4436
55.855606,37.480484,179.2777,0,4445
55.855606,37.480484,179.2777,0,4455
55.855606,37.480484,179.2777,0,4465
55.855606,37.480484,179.2777,0,4475
55.855606,37.480484,179.2777,0,4486
55.855606,37.480484,179.2777,0,4496
55.855606,37.480484,179.2777,0,4505
55.855606,37.480484,179.2777,0,4515
55.855606,37.480484,179.2777,0,4526
55.855606,37.480484,179.2777,0,4535
55.855606,37.480484,179.2777,0,4545
55.855606,37.480484,179.2777,0,4555
55.855606,37.480484,179.2777,0,4566
55.855606,37.480484,179.2777,0,4575
55.855606,37.480484,179.2777,0,4585
55.855606,37.480484,179.2777,0,4595
55.855606,37.480484,179.2777,0,4605
55.855606,37.480484,179.2777,0,4615
55.855606,37.480484,179.2777,0,4625
55.855606,37.480484,179.2777,0,4635
55.855606,37.480484,179.2777,0,4645
55.855606,37.480484,179.2777,0,4655
55.855606,37.480484,179.2777,0,4665
55.855606,37.480484,179.2777,0,4675
55.855606,37.480484,179.2777,0,4685
55.855606,37.480484,179.2777,0,4695
55.855606,37.480484,179.2777,0,4705
55.855606,37.480484,179.2777,0,4715
55.855606,37.480484,179.2777,0,4725
55.855606,37.480484,179.2777,0,4735
55.855606,37.480484,179.2777,0,4745
55.855606,37.480484,179.2777,0,4755
55.855606,37.480484,179.2777,0,4766
55.855606,37.480484,179.2777,0,4776
55.855606,37.480484,179.2777,0,4786
55.855606,37.480484,179.2777,0,4795
55.855606,37.480484,179.2777,0,4805
55.855606,37.480484,179.2777,0,4815
55.855606,37.480484,179.2777,0,4825
55.855606,37.480484,179.2777,0,4835
55.855606,37.480484,179.2777,0,4845
55.855606,37.480484,179.2777,0,4855
55.855606,37.480484,179.2777,0,4865
55.855606,37.480484,179.2777,0,4875
55.855606,37.480484,179.2777,0,4885
55.855606,37.480484,179.2777,0,4895
55.855606,37.480484,179.2777,0,4905
55.855606,37.480484,179.2777,0,4915
55.855606,37.480484,179.2777,0,4925
55.855606,37.480484,179.2777,0,4935
55.855606,37.480484,179.2777,0,4945
55.855606,37.480484,179.2777,0,4955
55.855606,37.480484,179.2777,0,4965
55.855606,37.480484,179.2777,0,4975
55.855606,37.480484,179.2777,0,4985
55.855606,37.480484,179.2777,0,4995
55.855606,37.480484,179.2777,0,5005
55.855606,37.480484,179.2777,0,5015
55.855606,37.480484,179.2777,0,5025
55.855606,37.480484,179.2777,0,5035
55.855606,37.480484,179.2777,0,5045
55.855606,37.480484,179.2777,0,5055
55.855606,37.480484,179.2777,0,5066
55.855606,37.480484,179.2777,0,5076
55.855606,37.480484,179.2777,0,5085
55.855606,37.480484,179.2777,0,5095
55.855606,37.480484,179.2777,0,5105
55.855606,37.480484,179.2777,0,5116
55.855606,37.480484,179.2777,0,5125
55.855606,37.480484,179.2777,0,5135
55.855606,37.480484,179.2777,0,5146
55.855606,37.480484,179.2777,0,5155
55.855606,37.480484,179.2777,0,5166
55.855606,37.480484,179.2777,0,5175
55.855606,37.480484,179.2777,0,5185
55.855602,37.480473,178.0951,0,5195
55.855602,37.480473,178.0951,0,5205
55.855602,37.480473,178.0951,0,5215
55.855602,37.480473,178.0951,0,5226
55.855602,37.480473,178.0951,0,5235
55.855602,37.480473,178.0951,0,5245
55.855602,37.480473,178.0951,0,5255
55.855602,37.480473,178.0951,0,5265
55.855602,37.480473,178.0951,0,5275
55.855602,37.480473,178.0951,0,5285
55.855602,37.480473,178.0951,0,5295
55.855602,37.480473,178.0951,0,5305
55.855602,37.480473,178.0951,0,5315
55.855602,37.480473,178.0951,0,5325
55.855602,37.480473,178.0951,0,5335
55.855602,37.480473,178.0951,0,5345
55.855602,37.480473,178.0951,0,5355
55.855602,37.480473,178.0951,0,5365
55.855602,37.480473,178.0951,0,5375
55.855602,37.480473,178.0951,0,5386
55.855602,37.480473,178.0951,0,5395
55.855602,37.480473,178.0951,0,5405
55.855602,37.480473,178.0951,0,5415
55.855602,37.480473,178.0951,0,5425
55.855602,37.480473,178.0951,0,5435
55.855602,37.480473,178.0951,0,5445
55.855602,37.480473,178.0951,0,5455
55.855602,37.480473,178.0951,0,5465
55.855602,37.480473,178.0951,0,5475
55.855602,37.480473,178.0951,0,5485
55.855602,37.480473,178.0951,0,5495
55.855602,37.480473,178.0951,0,5505
55.855602,37.480473,178.0951,0,5515
55.855602,37.480473,178.0951,0,5525
55.855602,37.480473,178.0951,0,5535
55.855602,37.480473,178.0951,0,5545
55.855602,37.480473,178.0951,0,5556
55.855602,37.480473,178.0951,0,5565
55.855602,37.480473,178.0951,0,5575
55.855602,37.480473,178.0951,0,5585
55.855602,37.480473,178.0951,0,5595
55.855602,37.480473,178.0951,0,5605
55.855602,37.480473,178.0951,0,5615
55.855602,37.480473,178.0951,0,5625
55.855602,37.480473,178.0951,0,5635
55.855602,37.480473,178.0951,0,5645
55.855602,37.480473,178.0951,0,5655
55.855602,37.480473,178.0951,0,5666
55.855602,37.480473,178.0951,0,5675
55.855602,37.480473,178.0951,0,5685
55.855602,37.480473,178.0951,0,5696
55.855602,37.480473,178.0951,0,5705
55.855602,37.480473,178.0951,0,5715
55.855602,37.480473,178.0951,0,5726
55.855602,37.480473,178.0951,0,5735
55.855602,37.480473,178.0951,0,5745
55.855602,37.480473,178.0951,0,5755
55.855602,37.480473,178.0951,0,5765
55.855602,37.480473,178.0951,0,5775
55.855602,37.480473,178.0951,0,5785
55.855602,37.480473,178.0951,0,5795
55.855602,37.480473,178.0951,0,5806
55.855602,37.480473,178.0951,0,5815
55.855602,37.480473,178.0951,0,5825
55.855602,37.480473,178.0951,0,5836
55.855602,37.480473,178.0951,0,5845
55.855602,37.480473,178.0951,0,5856
55.855602,37.480473,178.0951,0,5865
55.855602,37.480473,178.0951,0,5875
55.855602,37.480473,178.0951,0,5886
55.855602,37.480473,178.0951,0,5895
55.855602,37.480473,178.0951,0,5905
55.855602,37.480473,178.0951,0,5916
55.855602,37.480473,178.0951,0,5925
55.855602,37.480473,178.0951,0,5935
55.855602,37.480473,178.0951,0,5945
55.855602,37.480473,178.0951,0,5955
55.855602,37.480473,178.0951,0,5965
55.855602,37.480473,178.0951,0,5975
55.855602,37.480473,178.0951,0,5985
55.855602,37.480473,178.0951,0,5995
55.855602,37.480473,178.0951,0,6005
55.855602,37.480473,178.0951,0,6016
55.855602,37.480473,178.0951,0,6025
55.855602,37.480473,178.0951,0,6035
55.855602,37.480473,178.0951,0,6045
55.855602,37.480473,178.0951,0,6055
55.855602,37.480473,178.0951,0,6065
55.855602,37.480473,178.0951,0,6076
55.855602,37.480473,178.0951,0,6085
55.855602,37.480473,178.0951,0,6095
55.855602,37.480473,178.0951,0,6106
55.855602,37.480473,178.0951,0,6115
55.855602,37.480473,178.0951,0,6125
55.855602,37.480473,178.0951,0,6135
55.855602,37.480473,178.0951,0,6145
55.855602,37.480473,178.0951,0,6156
55.855602,37.480473,178.0951,0,6165
55.855602,37.480473,178.0951,0,6175
55.855602,37.480473,178.0951,0,6186
55.855602,37.480473,178.0951,0,6195
55.855602,37.480473,178.0951,0,6205
55.855602,37.480473,178.0951,0,6215
55.855602,37.480473,178.0951,0,6225
55.855602,37.480473,178.0951,0,6236
55.855602,37.480473,178.0951,0,6245
55.855602,37.480473,178.0951,0,6255
55.855602,37.480473,178.0951,0,6265
55.855602,37.480473,178.0951,0,6275
55.855602,37.480473,178.0951,0,6285
55.855602,37.480473,178.0951,0,6295
55.855602,37.480473,178.0951,0,6306
55.855602,37.480473,178.0951,0,6315
55.855602,37.480473,178.0951,0,6325
55.855602,37.480473,178.0951,0,6335
55.855602,37.480473,178.0951,0,6345
55.855602,37.480473,178.0951,0,6355
55.855602,37.480473,178.0951,0,6365
55.855602,37.480473,178.0951,0,6375
55.855602,37.480473,178.0951,0,6385
55.855602,37.480473,178.0951,0,6395
55.855602,37.480473,178.0951,0,6406
55.855602,37.480473,178.0951,0,6415
55.855602,37.480473,178.0951,0,6426
55.855602,37.480473,178.0951,0,6436
55.855602,37.480473,178.0951,0,6446
55.855602,37.480473,178.0951,0,6456
55.855602,37.480473,178.0951,0,6466
55.855602,37.480473,178.0951,0,6476
55.855602,37.480473,178.0951,0,6485
55.855602,37.480473,178.0951,0,6495
55.855602,37.480473,178.0951,0,6507
55.855602,37.480473,178.0951,0,6515
55.855602,37.480473,178.0951,0,6525
55.855602,37.480473,178.0951,0,6535
55.855602,37.480473,178.0951,0,6546
55.855602,37.480473,178.0951,0,6555
55.855602,37.480473,178.0951,0,6565
55.855602,37.480473,178.0951,0,6576
55.855602,37.480473,178.0951,0,6585
55.855602,37.480473,178.0951,0,6596
55.855602,37.480473,178.0951,0,6606
55.855602,37.480473,178.0951,0,6616
55.855602,37.480473,178.0951,0,6626
55.855602,37.480473,178.0951,0,6635
55.855602,37.480473,178.0951,0,6646
55.855602,37.480473,178.0951,0,6655
55.855602,37.480473,178.0951,0,6665
55.855602,37.480473,178.0951,0,6675
