Keuwl Accelerometer Data File
2021-04-23 02-18-31

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.2079739,-0.001953,0.038318,1.010184,1.010912,2.175109,92.917007
0.2099737,-0.002441,0.038562,1.007499,1.008240,2.196242,93.621483
0.2119734,-0.003173,0.039050,1.006279,1.007041,2.229761,94.645081
0.2139732,-0.003661,0.040271,1.004326,1.005140,2.305626,95.194427
0.2159730,-0.004149,0.041247,1.003350,1.004206,2.365957,95.744156
0.2179728,-0.003905,0.041979,1.003106,1.003991,2.406721,95.314545
0.2199726,-0.004881,0.043932,1.002130,1.003104,2.525612,96.340195
0.2219724,-0.005858,0.045640,1.000909,1.001966,2.632175,97.313492
0.2239722,-0.004149,0.045884,1.000177,1.001238,2.637301,95.166946
0.2259720,-0.003173,0.047349,0.997736,0.998864,2.723114,93.833679
0.2279717,-0.002929,0.048813,0.996516,0.997715,2.809374,93.433632
0.2299715,-0.002441,0.048569,0.993587,0.994777,2.802048,92.876762
0.2319713,0.000000,0.049789,0.993587,0.994834,2.868739,90.000000
0.2339710,0.001464,0.050033,0.992855,0.994116,2.886087,88.323532
0.2359708,0.000488,0.050521,0.992855,0.994140,2.913091,89.446434
0.2379705,0.000976,0.052474,0.992123,0.993510,3.028085,88.934158
0.2399703,0.001708,0.053206,0.991879,0.993306,3.072050,88.160858
0.2419700,0.002197,0.054915,0.992611,0.994131,3.169100,87.709389
0.2439698,0.002197,0.056135,0.994808,0.996393,3.232103,87.759132
0.2459695,0.002197,0.057599,0.993587,0.995258,3.320187,87.816048
0.2479692,0.001953,0.059064,0.992855,0.994612,3.406341,88.106613
0.2499689,0.001464,0.059064,0.994076,0.995830,3.401336,88.579735
0.2519687,0.001220,0.057843,0.994564,0.996245,3.329255,88.791405
0.2539685,0.001953,0.058576,0.994076,0.995802,3.374116,88.090851
0.2559682,0.001708,0.057599,0.994564,0.996232,3.315997,88.301048
0.2579679,0.002441,0.056867,0.993587,0.995216,3.278710,87.542465
0.2599677,0.003661,0.055647,0.994076,0.995639,3.210894,86.235962
0.2619674,0.003661,0.054426,0.995296,0.996790,3.137125,86.151817
0.2639672,0.003661,0.054915,0.994076,0.995598,3.168915,86.185928
0.2659669,0.002929,0.055159,0.994076,0.995609,3.180385,86.960602
0.2679667,0.002197,0.053450,0.993343,0.994783,3.082610,87.646706
0.2699664,0.000976,0.051742,0.995296,0.996640,2.976443,88.919075
0.2719661,0.000000,0.050765,0.996760,0.998052,2.915577,90.000000
0.2739659,-0.001708,0.049789,1.000665,1.001905,2.850187,91.965263
0.2759658,-0.002197,0.049789,1.000665,1.001906,2.851286,92.526115
0.2779655,-0.002441,0.049301,1.001886,1.003101,2.820570,92.834114
0.2799652,-0.003417,0.049301,1.005547,1.006760,2.813621,93.964653
0.2819650,-0.003661,0.048081,1.008231,1.009384,2.738096,94.354218
0.2839647,-0.003173,0.048325,1.010916,1.012075,2.742668,93.756454
0.2859645,-0.002441,0.049057,1.012625,1.013815,2.776997,92.848190
0.2879642,-0.003661,0.048569,1.013357,1.014526,2.751859,94.310623
0.2899639,-0.004637,0.048813,1.014577,1.015761,2.766828,95.426811
0.2919637,-0.005858,0.051498,1.015309,1.016631,2.922283,96.489166
