Keuwl Accelerometer Data File
2021-04-30 04-10-13

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
22.1339893,0.098165,0.110137,9.780613,9.781726,0.864340,48.289242
22.1359882,0.083800,0.122108,9.775824,9.776945,0.867955,55.539185
22.1379890,0.083800,0.112531,9.771035,9.772042,0.822581,53.325653
22.1399879,0.088588,0.114925,9.766247,9.767324,0.851108,52.373764
22.1419888,0.083800,0.129291,9.773430,9.774644,0.903090,57.050785
22.1439877,0.074223,0.122108,9.763853,9.764898,0.838368,58.706963
22.1459885,0.069434,0.122108,9.759064,9.760075,0.824720,60.376251
22.1479874,0.069434,0.110137,9.771035,9.771903,0.763614,57.771244
22.1499863,0.069434,0.122108,9.773430,9.774439,0.823295,60.376251
22.1519871,0.086194,0.124502,9.785401,9.786573,0.886690,55.304848
22.1539860,0.088588,0.114925,9.778218,9.779295,0.850188,52.373764
22.1559868,0.083800,0.112531,9.771035,9.772042,0.822581,53.325653
22.1579857,0.083800,0.124502,9.780613,9.781764,0.878932,56.056412
22.1599865,0.081405,0.126897,9.771035,9.772198,0.883817,57.319443
22.1619854,0.074223,0.119714,9.763853,9.764869,0.826379,58.201088
22.1639843,0.081405,0.124502,9.768641,9.769773,0.872228,56.821487
22.1659851,0.076617,0.126897,9.771035,9.772160,0.869081,58.877529
22.1679840,0.076617,0.126897,9.761458,9.762584,0.869982,58.877529
22.1699848,0.079011,0.112531,9.771035,9.772002,0.806000,54.926247
22.1719837,0.076617,0.105348,9.780613,9.781481,0.763358,53.972626
22.1739845,0.088588,0.119714,9.790190,9.791323,0.871555,53.498558
22.1759834,0.090982,0.112531,9.780613,9.781684,0.847884,51.044090
22.1779842,0.088588,0.112531,9.768641,9.769691,0.839534,51.788975
22.1799831,0.083800,0.114925,9.771035,9.772071,0.834156,53.901718
22.1819820,0.088588,0.126897,9.773430,9.774654,0.906982,55.080597
22.1839828,0.088588,0.126897,9.763853,9.765079,0.908060,55.080597
22.1859818,0.069434,0.134079,9.766247,9.767414,0.885807,62.622299
22.1879826,0.069434,0.124502,9.771035,9.772076,0.836031,60.851925
