LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Speed ( m/s),Time since start in ms 
55.855625,37.479202,178.3221,1.4219,17628
55.855625,37.479202,178.3221,1.4219,17638
55.855625,37.479202,178.3221,1.4219,17649
55.855625,37.479202,178.3221,1.4219,17659
55.855625,37.479202,178.3221,1.4219,17668
55.855625,37.479202,178.3221,1.4219,17678
55.855625,37.479202,178.3221,1.4219,17688
55.855625,37.479202,178.3221,1.4219,17698
55.855625,37.479202,178.3221,1.4219,17708
55.855625,37.479202,178.3221,1.4219,17718
55.855625,37.479202,178.3221,1.4219,17729
55.855625,37.479202,178.3221,1.4219,17738
55.855625,37.479202,178.3221,1.4219,17749
55.855625,37.479202,178.3221,1.4219,17758
55.855625,37.479202,178.3221,1.4219,17768
55.855625,37.479202,178.3221,1.4219,17779
55.855625,37.479202,178.3221,1.4219,17788
55.855625,37.479202,178.3221,1.4219,17798
55.855625,37.479202,178.3221,1.4219,17808
55.855625,37.479202,178.3221,1.4219,17819
55.855625,37.479202,178.3221,1.4219,17828
55.855625,37.479202,178.3221,1.4219,17838
55.855625,37.479202,178.3221,1.4219,17848
55.855625,37.479202,178.3221,1.4219,17858
55.855625,37.479202,178.3221,1.4219,17868
55.855625,37.479202,178.3221,1.4219,17878
55.855625,37.479202,178.3221,1.4219,17888
55.855625,37.479202,178.3221,1.4219,17899
55.855625,37.479202,178.3221,1.4219,17909
55.855625,37.479202,178.3221,1.4219,17918
55.855625,37.479202,178.3221,1.4219,17928
55.855625,37.479202,178.3221,1.4219,17939
55.855625,37.479202,178.3221,1.4219,17948
55.855625,37.479202,178.3221,1.4219,17958
55.855625,37.479202,178.3221,1.4219,17968
55.855625,37.479202,178.3221,1.4219,17978
55.855625,37.479202,178.3221,1.4219,17988
55.855625,37.479202,178.3221,1.4219,17998
55.855625,37.479202,178.3221,1.4219,18009
55.855625,37.479202,178.3221,1.4219,18018
55.855625,37.479202,178.3221,1.4219,18028
55.855625,37.479202,178.3221,1.4219,18038
55.855625,37.479202,178.3221,1.4219,18048
55.855625,37.479202,178.3221,1.4219,18058
55.855625,37.479202,178.3221,1.4219,18068
55.855625,37.479202,178.3221,1.4219,18078
55.855625,37.479202,178.3221,1.4219,18088
55.855625,37.479202,178.3221,1.4219,18098
55.855625,37.479202,178.3221,1.4219,18108
55.855625,37.479202,178.3221,1.4219,18118
55.855625,37.479202,178.3221,1.4219,18128
55.855625,37.479202,178.3221,1.4219,18138
55.855625,37.479202,178.3221,1.4219,18148
55.855625,37.479202,178.3221,1.4219,18158
55.855625,37.479202,178.3221,1.4219,18168
55.855625,37.479202,178.3221,1.4219,18178
55.855625,37.479202,178.3221,1.4219,18189
55.855625,37.479202,178.3221,1.4219,18198
55.855625,37.479202,178.3221,1.4219,18209
55.855625,37.479202,178.3221,1.4219,18218
55.855625,37.479202,178.3221,1.4219,18228
55.855625,37.479202,178.3221,1.4219,18238
55.855625,37.479202,178.3221,1.4219,18249
55.855625,37.479202,178.3221,1.4219,18259
55.855625,37.479202,178.3221,1.4219,18268
55.855625,37.479202,178.3221,1.4219,18278
55.855625,37.479202,178.3221,1.4219,18289
55.855625,37.479202,178.3221,1.4219,18298
55.855625,37.479202,178.3221,1.4219,18309
55.855625,37.479202,178.3221,1.4219,18319
55.855625,37.479202,178.3221,1.4219,18329
55.855625,37.479202,178.3221,1.4219,18338
55.855625,37.479202,178.3221,1.4219,18348
55.855625,37.479202,178.3221,1.4219,18359
55.855625,37.479202,178.3221,1.4219,18369
55.855625,37.479202,178.3221,1.4219,18379
55.855625,37.479202,178.3221,1.4219,18388
55.855625,37.479202,178.3221,1.4219,18399
55.855625,37.479202,178.3221,1.4219,18408
55.855625,37.479202,178.3221,1.4219,18419
55.855625,37.479202,178.3221,1.4219,18429
55.855625,37.479202,178.3221,1.4219,18439
55.855625,37.479202,178.3221,1.4219,18448
55.855625,37.479202,178.3221,1.4219,18458
55.855625,37.479202,178.3221,1.4219,18468
55.855625,37.479202,178.3221,1.4219,18478
55.855625,37.479202,178.3221,1.4219,18488
55.855625,37.479202,178.3221,1.4219,18498
55.855625,37.479202,178.3221,1.4219,18508
55.855625,37.479225,178.3529,1.4177,18518
55.855625,37.479225,178.3529,1.4177,18528
55.855625,37.479225,178.3529,1.4177,18538
55.855625,37.479225,178.3529,1.4177,18548
55.855625,37.479225,178.3529,1.4177,18558
55.855625,37.479225,178.3529,1.4177,18568
55.855625,37.479225,178.3529,1.4177,18578
55.855625,37.479225,178.3529,1.4177,18588
55.855625,37.479225,178.3529,1.4177,18598
55.855625,37.479225,178.3529,1.4177,18609
55.855625,37.479225,178.3529,1.4177,18618
55.855625,37.479225,178.3529,1.4177,18629
55.855625,37.479225,178.3529,1.4177,18638
55.855625,37.479225,178.3529,1.4177,18648
55.855625,37.479225,178.3529,1.4177,18659
55.855625,37.479225,178.3529,1.4177,18668
55.855625,37.479225,178.3529,1.4177,18678
55.855625,37.479225,178.3529,1.4177,18688
55.855625,37.479225,178.3529,1.4177,18698
55.855625,37.479225,178.3529,1.4177,18708
55.855625,37.479225,178.3529,1.4177,18718
55.855625,37.479225,178.3529,1.4177,18728
55.855625,37.479225,178.3529,1.4177,18738
55.855625,37.479225,178.3529,1.4177,18748
55.855625,37.479225,178.3529,1.4177,18758
55.855625,37.479225,178.3529,1.4177,18768
55.855625,37.479225,178.3529,1.4177,18778
55.855625,37.479225,178.3529,1.4177,18789
55.855625,37.479225,178.3529,1.4177,18798
55.855625,37.479225,178.3529,1.4177,18808
55.855625,37.479225,178.3529,1.4177,18818
55.855625,37.479225,178.3529,1.4177,18829
55.855625,37.479225,178.3529,1.4177,18838
55.855625,37.479225,178.3529,1.4177,18848
55.855625,37.479225,178.3529,1.4177,18858
55.855625,37.479225,178.3529,1.4177,18869
55.855625,37.479225,178.3529,1.4177,18878
55.855625,37.479225,178.3529,1.4177,18888
55.855625,37.479225,178.3529,1.4177,18898
55.855625,37.479225,178.3529,1.4177,18908
55.855625,37.479225,178.3529,1.4177,18919
55.855625,37.479225,178.3529,1.4177,18928
55.855625,37.479225,178.3529,1.4177,18940
55.855625,37.479225,178.3529,1.4177,18948
55.855625,37.479225,178.3529,1.4177,18958
55.855625,37.479225,178.3529,1.4177,18968
