Keuwl Accelerometer Data File
2021-04-25 22-14-07

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.5820004,-0.208302,-0.165205,9.936240,9.939796,1.532762,218.418060
0.5840004,-0.160416,-0.155628,9.895537,9.898061,1.293768,224.131943
0.5860004,-0.143656,-0.153234,9.881172,9.883405,1.217883,226.847610
0.5880004,-0.134079,-0.165205,9.842864,9.845163,1.238279,230.937408
0.5900005,-0.126897,-0.165205,9.864412,9.866611,1.209660,232.471558
0.5920005,-0.114925,-0.150839,9.864412,9.866235,1.101273,232.696045
0.5940006,-0.136474,-0.143656,9.871595,9.873584,1.149950,226.468796
0.5960006,-0.146051,-0.160416,9.897932,9.900310,1.255697,227.683777
0.5980006,-0.169994,-0.165205,9.933846,9.936674,1.366876,224.181549
0.6000006,-0.162811,-0.169994,9.938635,9.941422,1.356673,226.236404
0.6020006,-0.158022,-0.177176,9.945818,9.948651,1.367449,228.270493
0.6040006,-0.136474,-0.191542,9.964972,9.967747,1.352050,234.530121
0.6060005,-0.141262,-0.186753,9.950606,9.953362,1.348136,232.895767
0.6080006,-0.134079,-0.191542,9.945818,9.948565,1.346539,235.007980
0.6100005,-0.162811,-0.198725,9.936240,9.939561,1.481077,230.673019
0.6120005,-0.191542,-0.205908,9.941029,9.945005,1.620396,227.070023
0.6140004,-0.241822,-0.213090,9.948212,9.953432,1.855724,221.386124
0.6160004,-0.265765,-0.208302,9.953000,9.958726,1.942997,218.088776
0.6180004,-0.263370,-0.198725,9.972155,9.977612,1.895065,217.036209
0.6200004,-0.280130,-0.205908,9.964972,9.971035,1.998216,216.317474
0.6220005,-0.289707,-0.232245,9.969760,9.976672,2.132949,218.717514
0.6240004,-0.282524,-0.229850,9.967366,9.974018,2.092654,219.130402
0.6260004,-0.270553,-0.225062,9.955395,9.961613,2.024487,219.755661
0.6280004,-0.289707,-0.232245,9.943423,9.950354,2.138539,218.717514
0.6300004,-0.313650,-0.239427,9.926663,9.934503,2.276323,217.356613
0.6320004,-0.335198,-0.244216,9.936240,9.944891,2.389992,216.076004
0.6340004,-0.339987,-0.241822,9.931452,9.940211,2.405501,215.423004
0.6360005,-0.368718,-0.237033,9.953000,9.962647,2.521657,212.735229
0.6380004,-0.354353,-0.237033,9.941029,9.950166,2.455590,213.779312
0.6400004,-0.342381,-0.229850,9.943423,9.951971,2.374875,213.874588
0.6420004,-0.318439,-0.220273,9.926663,9.934212,2.233707,214.672745
0.6440004,-0.311256,-0.229850,9.905115,9.912669,2.236947,216.444443
0.6460004,-0.308861,-0.239427,9.914692,9.922391,2.257241,217.782623
0.6480004,-0.308861,-0.220273,9.924269,9.931517,2.189101,215.495636
0.6500004,-0.311256,-0.210696,9.921875,9.928991,2.169433,214.094986
0.6520004,-0.325621,-0.225062,9.917087,9.924983,2.285676,214.651321
0.6540003,-0.337593,-0.217879,9.917087,9.925222,2.320012,212.837799
0.6560004,-0.342381,-0.220273,9.909904,9.918262,2.352518,212.755478
0.6580003,-0.328016,-0.232245,9.902720,9.910873,2.324142,215.299606
0.6600004,-0.308861,-0.239427,9.890749,9.898466,2.262610,217.782623
0.6620004,-0.301679,-0.244216,9.890749,9.898361,2.247160,218.990997
0.6640004,-0.270553,-0.241822,9.885961,9.892618,2.102172,221.790512
0.6660004,-0.270553,-0.241822,9.885961,9.892618,2.102172,221.790512
0.6680003,-0.260976,-0.265765,9.883567,9.890583,2.158217,225.520859
0.6700004,-0.256187,-0.251399,9.888355,9.894868,2.078861,224.459488
0.6720003,-0.260976,-0.263370,9.900327,9.907268,2.144845,225.261627
0.6740004,-0.268159,-0.258582,9.926663,9.933651,2.149220,223.958374
0.6760004,-0.275342,-0.265765,9.936240,9.943606,2.205490,223.986023
0.6780004,-0.268159,-0.275342,9.936240,9.943670,2.215054,225.757172
0.6800004,-0.234639,-0.299284,9.955395,9.962656,2.187670,231.903549
0.6820003,-0.251399,-0.289707,9.938635,9.946034,2.210277,229.049576
0.6840004,-0.268159,-0.294496,9.950606,9.958574,2.292174,227.679977
0.6860003,-0.308861,-0.294496,9.950606,9.959753,2.455750,223.636063
0.6880004,-0.320833,-0.299284,9.936240,9.945922,2.528323,223.009827
0.6900004,-0.316044,-0.316044,9.921875,9.931937,2.579292,225.000000
0.6920004,-0.292102,-0.296890,9.888355,9.897123,2.411921,225.465805
0.6940004,-0.294496,-0.301679,9.900327,9.909299,2.438393,225.690277
0.6960003,-0.263370,-0.301679,9.902720,9.910815,2.315875,228.878525
0.6980004,-0.249005,-0.304073,9.926663,9.934441,2.267277,230.686035
0.7000004,-0.249005,-0.292102,9.950606,9.958006,2.208948,229.553772
0.7020005,-0.256187,-0.289707,9.976943,9.984435,2.219732,228.513748
0.7040005,-0.256187,-0.294496,9.984126,9.991754,2.238871,228.979385
0.7060006,-0.270553,-0.301679,10.020041,10.028232,2.315959,228.113434
0.7080005,-0.282524,-0.306467,10.005674,10.014353,2.385483,227.327820
0.7100006,-0.287313,-0.306467,10.003280,10.012096,2.404687,226.847610
0.7120006,-0.249005,-0.294496,9.981731,9.989179,2.212578,229.784531
0.7140006,-0.210696,-0.284919,9.929058,9.935380,2.044018,233.517227
0.7160006,-0.198725,-0.284919,9.926663,9.932739,2.004181,235.105042
0.7180005,-0.181965,-0.272947,9.907509,9.912938,1.896407,236.309937
0.7200005,-0.165205,-0.265765,9.883567,9.888519,1.813373,238.134018
0.7220004,-0.169994,-0.265765,9.881172,9.886208,1.828741,237.395401
0.7240005,-0.184359,-0.272947,9.900327,9.905805,1.905570,235.963394
