Keuwl Accelerometer Data File
2021-04-25 23-01-12

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.2239747,-0.016760,0.193936,9.830893,9.832820,1.134532,94.939217
0.2259744,-0.004789,0.191542,9.828498,9.830365,1.116800,91.432098
0.2279742,0.004789,0.179571,9.842864,9.844503,1.045675,88.472473
0.2299740,0.009577,0.174782,9.828498,9.830056,1.020291,86.863640
0.2319737,0.011971,0.158022,9.816526,9.817805,0.924715,85.667686
0.2339734,0.019154,0.148445,9.804555,9.805697,0.874692,82.647621
0.2359732,0.019154,0.126897,9.783007,9.783849,0.751734,81.416374
0.2379729,0.038308,0.079011,9.771035,9.771430,0.515103,64.133644
0.2399726,0.052674,0.047885,9.768641,9.768901,0.417310,42.273689
0.2419724,0.062251,0.002394,9.763853,9.764051,0.365305,2.202598
0.2439721,0.074223,-0.055068,9.766247,9.766685,0.542486,323.426971
0.2459719,0.076617,-0.086194,9.780613,9.781293,0.675506,311.633545
0.2479716,0.071828,-0.150839,9.792584,9.794009,0.977388,295.463348
0.2499714,0.083800,-0.186753,9.802161,9.804298,1.196322,294.166626
0.2519711,0.076617,-0.258582,9.830893,9.834591,1.571345,286.504364
0.2539708,0.076617,-0.330410,9.871595,9.877420,1.967818,283.055237
0.2559706,0.069434,-0.363930,9.878778,9.885723,2.147945,280.801605
0.2579703,0.045491,-0.397450,9.869201,9.877305,2.321193,276.529541
0.2599700,0.035914,-0.435758,9.854836,9.864531,2.540449,274.711517
0.2619698,0.031126,-0.447729,9.847652,9.857875,2.609545,273.976746
0.2639696,0.009577,-0.474066,9.852441,9.863844,2.755272,271.157318
0.2659693,-0.011971,-0.469278,9.852441,9.863618,2.727854,268.538696
0.2679690,-0.021548,-0.466884,9.842864,9.853954,2.718582,267.357452
0.2699687,-0.023943,-0.466884,9.840469,9.851568,2.719949,267.064331
0.2719685,-0.045491,-0.454912,9.833286,9.843908,2.661902,264.289398
0.2739682,-0.057463,-0.418998,9.811738,9.820848,2.468152,262.191010
0.2759680,-0.064645,-0.373507,9.780613,9.787955,2.219379,260.180695
0.2779678,-0.069434,-0.356747,9.775824,9.782578,2.129184,258.986176
0.2799675,-0.069434,-0.320833,9.747093,9.752620,1.928945,257.788483
0.2819672,-0.086194,-0.270553,9.732727,9.736868,1.671052,252.328949
0.2839670,-0.098165,-0.251399,9.727939,9.731682,1.589178,248.670532
0.2859667,-0.083800,-0.198725,9.754275,9.756660,1.266714,247.135498
0.2879664,-0.095771,-0.146051,9.775824,9.777384,1.023547,236.745636
0.2899662,-0.102954,-0.122108,9.790190,9.791492,0.934608,229.864517
0.2919659,-0.098165,-0.071828,9.821315,9.822068,0.709692,216.193207
0.2939658,-0.110137,-0.062251,9.823709,9.824524,0.737809,209.475891
0.2959655,-0.138868,-0.033520,9.845258,9.846294,0.831336,193.570435
0.2979652,-0.143656,-0.002394,9.876384,9.877429,0.833452,180.954834
0.2999650,-0.148445,0.016760,9.878778,9.879907,0.866150,173.558395
0.3019647,-0.177176,0.059857,9.881172,9.882942,1.084442,161.333084
0.3039644,-0.213090,0.095771,9.857229,9.859998,1.357827,155.799026
0.3059641,-0.229850,0.107742,9.854836,9.858105,1.475650,154.885162
0.3079640,-0.280130,0.131685,9.869201,9.874054,1.796458,154.822464
0.3099637,-0.294496,0.148445,9.842864,9.848388,1.919079,153.248932
0.3119634,-0.296890,0.155628,9.821315,9.827033,1.954646,152.336761
0.3139631,-0.294496,0.181965,9.771035,9.777165,2.029026,148.288651
0.3159629,-0.294496,0.184359,9.754275,9.760461,2.039896,147.952759
0.3179626,-0.272947,0.181965,9.754275,9.759790,1.926306,146.309937
0.3199624,-0.260976,0.167599,9.749487,9.754419,1.822201,147.291351
0.3219621,-0.260976,0.167599,9.754275,9.759205,1.821127,147.291351
0.3239619,-0.253793,0.148445,9.763853,9.768279,1.724877,149.676392
0.3259616,-0.253793,0.081405,9.785401,9.789030,1.560096,162.216110
0.3279613,-0.256187,0.045491,9.814133,9.817581,1.518653,169.930939
0.3299611,-0.258582,-0.004789,9.845258,9.848654,1.504672,181.060913
